store;websites;attribute_set;type;category_ids;sku;has_options;name;meta_title;meta_description;image;small_image;thumbnail;url_key;url_path;custom_design;page_layout;options_container;country_of_manufacture;msrp_enabled;msrp_display_actual_price_type;gift_message_available;price;special_price;weight;msrp;status;is_recurring;visibility;enable_googlecheckout;tax_class_id;description;short_description;meta_keyword;custom_layout_update;special_from_date;special_to_date;news_from_date;news_to_date;custom_design_from;custom_design_to;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;low_stock_date;notify_stock_qty;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments;product_name;store_id;product_type_id;product_status_changed;product_changed_websites
admin;base;Default;simple;2,3;TestProduct;0;TestProduct111111111;;;;;;testproduct;testproduct.html;;No layout updates;Block after Info Column; ;Use config;Use config;No;500;;21;;Enabled;No;Catalog, Search;Yes;None;TestProduct;TestProduct;;;;;;;;;88;0;1;0;0;1;1;1;0;1;1;;;1;0;1;0;1;0;1;0;0;0;1;TestProduct;0;simple;;
admin;base;Default;simple;;TestBella;0;TestBella1111111111;;;;;;testbella;testbella.html;;No layout updates;Block after Info Column; ;Use config;Use config;Yes;50;;123;;Enabled;No;Catalog, Search;Yes;None;TestBella;TestBella;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-04 06:27:35;;1;0;1;1;1;0;1;0;0;1;1;TestBella;0;simple;;
admin;magentostore1;Default;simple;4,6,17;PSB-S04;0;20 Atomix Extract;;;;;;20-atomix-extract;20-atomix-extract.html;;;Block after Info Column;;;;;8.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:25:28;;1;1;0;1;1;0;1;0;0;1;1;20 Atomix Extract;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-HR1073;0;7 Keto DHEA 100 mg;;;;;;7-keto-dhea-100-mg;7-keto-dhea-100-mg.html;;;Block after Info Column;;;;;24.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:01:57;;1;1;0;1;1;0;1;0;0;1;1;7 Keto DHEA 100 mg;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-PF0571;0;Acai Extract;;;;;;acai-extract;acai-extract.html;;;Block after Info Column;;;;;12.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:01;;1;1;0;1;1;0;1;0;0;1;1;Acai Extract;0;simple;;
admin;magentostore1;Default;simple;4,6,17;ALTRP4;0;Alteril Natural Sleep Aid;;;;;;alteril-natural-sleep-aid;alteril-natural-sleep-aid.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:05;;1;1;0;1;1;0;1;0;0;1;1;Alteril Natural Sleep Aid;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-TW0826;0;Amino Fuel 2000;;;;;;amino-fuel-2000;amino-fuel-2000.html;;;Block after Info Column;;;;;19.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:08;;1;1;0;1;1;0;1;0;0;1;1;Amino Fuel 2000;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-PF0453;0;Antler Velvet 250mg Full Spect;;;;;;antler-velvet-250mg-full-spect;antler-velvet-250mg-full-spect.html;;;Block after Info Column;;;;;27.99;;;;Disabled;;Catalog, Search;Yes;None;This advantageous element along with others may explain the traditional belief in Chinese herbal medicine that deer antler velvet may help rebuild joint cartilage, lubricate the joints, regulate bone growth, encourage tissue healing and cell repair, relieve arthritis symptoms and increase muscle efficiency. It is also said to improve circulation and help the body to resist disease and injury.;This advantageous element along with others may explain the traditional belief in Chinese herbal medicine that deer antler velvet may help rebuild joint cartilage, lubricate the joints, regulate bone growth, encourage tissue healing and cell repair, relieve arthritis symptoms and increase muscle efficiency. It is also said to improve circulation and help the body to resist disease and injury.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:12;;1;1;0;1;1;0;1;0;0;1;1;Antler Velvet 250mg Full Spect;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-AY0001;0;Ashwagandha;;;;;;ashwagandha;ashwagandha.html;;;Block after Info Column;;;;;27.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:16;;1;1;0;1;1;0;1;0;0;1;1;Ashwagandha;0;simple;;
admin;magentostore1;Default;simple;4,6,17;AZ-101;0;Aziffa 2 Pk;;;;;;aziffa-2-pk;aziffa-2-pk.html;;;Block after Info Column;;;;;10.99;;;;Disabled;;Catalog, Search;Yes;None;A all natural nutritional supplement designed to increase sexual libido, desire, staying power, erection time and erection firmness. Only the finest ingredients have been used in the formulation of Aziffa. It works using natural ingredients to stimulate blood vessels, increase blood flow to the genitals, and special herbal extracts that help make the body feel sexually aroused and excited.;A all natural nutritional supplement designed to increase sexual libido, desire, staying power, erection time and erection firmness. Only the finest ingredients have been used in the formulation of Aziffa. It works using natural ingredients to stimulate blood vessels, increase blood flow to the genitals, and special herbal extracts that help make the body feel sexually aroused and excited.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:19;;1;1;0;1;1;0;1;0;0;1;1;Aziffa 2 Pk;0;simple;;
admin;magentostore1;Default;simple;4,6,17;SDI-BFF1;0;BFF 1 Count Female Pill;;;;;;bff-1-count-female-pill;bff-1-count-female-pill.html;;;Block after Info Column;;;;;7.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:23;;1;1;0;1;1;0;1;0;0;1;1;BFF 1 Count Female Pill;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EL-7024-99;0;Bigralis 1 Capsule;;;;;;bigralis-1-capsule;bigralis-1-capsule.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:26;;1;1;0;1;1;0;1;0;0;1;1;Bigralis 1 Capsule;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-SS0168;0;Brainstrong;;;;;;brainstrong;brainstrong.html;;;Block after Info Column;;;;;34.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:30;;1;1;0;1;1;0;1;0;0;1;1;Brainstrong;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-NW0636;0;Choline 500mg;;;;;;choline-500mg;choline-500mg.html;;;Block after Info Column;;;;;14.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:33;;1;1;0;1;1;0;1;0;0;1;1;Choline 500mg;0;simple;;
admin;magentostore1;Default;simple;4,6,17;VAN-HR0678;0;Citrimax;;;;;;citrimax;citrimax.html;;;Block after Info Column;;;;;14.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:37;;1;1;0;1;1;0;1;0;0;1;1;Citrimax;0;simple;;
admin;magentostore1;Default;simple;4,6,17;IRW-IN058225;0;CLA Lean Body Fat Reduction;;;;;;cla-lean-body-fat-reduction;cla-lean-body-fat-reduction.html;;;Block after Info Column;;;;;24.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:41;;1;1;0;1;1;0;1;0;0;1;1;CLA Lean Body Fat Reduction;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EL-7013-97;0;Climax Female Enhancer 4Pk;;;;;;climax-female-enhancer-4pk;climax-female-enhancer-4pk.html;;;Block after Info Column;;;;;12.99;;;;Disabled;;Catalog, Search;Yes;None;Natural Boost's Climax Female Sexual Enhancer is a libido-intensifying capsule that will help build up sensuality, increase sexual desire, strengthen orgasms, intensify sensitivity, and heighten overall sexual pleasure. Natural Burst Climax Powerful Female Sexual Enhancer is a 100% Natural formula.;Natural Boost's Climax Female Sexual Enhancer is a libido-intensifying capsule that will help build up sensuality, increase sexual desire, strengthen orgasms, intensify sensitivity, and heighten overall sexual pleasure. Natural Burst Climax Powerful Female Sexual Enhancer is a 100% Natural formula.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:44;;1;1;0;1;1;0;1;0;0;1;1;Climax Female Enhancer 4Pk;0;simple;;
admin;magentostore1;Default;simple;4,6,17;NB-102;0;Cock Star For Her;;;;;;cock-star-for-her;cock-star-for-her.html;;;Block after Info Column;;;;;6.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:48;;1;1;0;1;1;0;1;0;0;1;1;Cock Star For Her;0;simple;;
admin;magentostore1;Default;simple;4,6,17;MAD-DCPB;0;Cockstar For Couples;;;;;;cockstar-for-couples;cockstar-for-couples.html;;;Block after Info Column;;;;;14.99;;;;Disabled;;Catalog, Search;Yes;None;Cockstar Couples are fun for a girl and a boy. He takes one or two capsules an hour before activity for improved sexual performance and she takes two capsules an hour before activity for maximum sensitivity and desire. Then the fun begins. Four capsules included.;Cockstar Couples are fun for a girl and a boy. He takes one or two capsules an hour before activity for improved sexual performance and she takes two capsules an hour before activity for maximum sensitivity and desire. Then the fun begins. Four capsules included.;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:52;;1;1;0;1;1;0;1;0;0;1;1;Cockstar For Couples;0;simple;;
admin;magentostore1;Default;simple;4,6,17;MAD-DCB;0;Cockstar For Men;;;;;;cockstar-for-men;cockstar-for-men.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:55;;1;1;0;1;1;0;1;0;0;1;1;Cockstar For Men;0;simple;;
admin;magentostore1;Default;simple;4,6,17;MAD-DFB;0;Cockstar For Women;;;;;;cockstar-for-women;cockstar-for-women.html;;;Block after Info Column;;;;;9.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:02:59;;1;1;0;1;1;0;1;0;0;1;1;Cockstar For Women;0;simple;;
admin;magentostore1;Default;simple;4,6,17;EL-7045-2;0;Cockstar Sex Enhancement 2ct;;;;;;cockstar-sex-enhancement-2ct;cockstar-sex-enhancement-2ct.html;;;Block after Info Column;;;;;12.99;;;;Disabled;;Catalog, Search;Yes;None;;;;;;;;;;;0;0;1;0;0;1;1;1;0;1;0;2014-03-06 15:03:03;;1;1;0;1;1;0;1;0;0;1;1;Cockstar Sex Enhancement 2ct;0;simple;;
